/home/shannonfaz/pythonvenv/lib/python3.12/site-packages/torch/cuda/__init__.py:188: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12090). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /__w/pytorch/pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
LSTM 配置: {'seed': 666, 'hidden': 8, 'epochs': 100, 'step': 30, 'stages': [1.0, 0.9, 0.8, 0.7, 0.6, 0.5]}
加载数据：有效样本 695，跳过 0。
Epoch 021 | Loss 0.0308 | Val 0.9640 | Full 0.9914
Epoch 022 | Loss 0.0425 | Val 0.9928 | Full 0.9971
Epoch 023 | Loss 0.0427 | Val 0.9640 | Full 0.9899
Epoch 024 | Loss 0.0698 | Val 0.9784 | Full 0.9914
Epoch 025 | Loss 0.0974 | Val 0.9640 | Full 0.9741
Epoch 026 | Loss 0.0644 | Val 0.9856 | Full 0.9942
Epoch 027 | Loss 0.0501 | Val 0.9712 | Full 0.9928
Epoch 028 | Loss 0.0408 | Val 0.9784 | Full 0.9957
Epoch 029 | Loss 0.0163 | Val 0.9712 | Full 0.9928
Epoch 030 | Loss 0.0276 | Val 0.9568 | Full 0.9842
Epoch 031 | Loss 0.0318 | Val 0.9928 | Full 0.9986
Epoch 032 | Loss 0.0102 | Val 0.9640 | Full 0.9914
Epoch 033 | Loss 0.0044 | Val 0.9712 | Full 0.9942
Epoch 034 | Loss 0.0044 | Val 0.9784 | Full 0.9957
Epoch 035 | Loss 0.0101 | Val 0.9856 | Full 0.9971
Epoch 036 | Loss 0.0234 | Val 0.9784 | Full 0.9957
Epoch 037 | Loss 0.0170 | Val 0.9928 | Full 0.9986
Epoch 038 | Loss 0.0077 | Val 0.9640 | Full 0.9928
Epoch 039 | Loss 0.0052 | Val 0.9712 | Full 0.9942
Epoch 040 | Loss 0.0039 | Val 0.9712 | Full 0.9942
Epoch 041 | Loss 0.0017 | Val 0.9928 | Full 0.9986
Epoch 042 | Loss 0.0035 | Val 0.9928 | Full 0.9986
Epoch 043 | Loss 0.0051 | Val 0.9712 | Full 0.9942
Epoch 044 | Loss 0.0068 | Val 0.9784 | Full 0.9957
Epoch 045 | Loss 0.0229 | Val 0.9568 | Full 0.9899
Epoch 046 | Loss 0.0057 | Val 0.9712 | Full 0.9914
Epoch 047 | Loss 0.0076 | Val 0.9712 | Full 0.9942
Epoch 048 | Loss 0.0099 | Val 0.9784 | Full 0.9957
Epoch 049 | Loss 0.0087 | Val 0.9856 | Full 0.9971
Epoch 050 | Loss 0.0029 | Val 0.9928 | Full 0.9986
Epoch 051 | Loss 0.0079 | Val 0.9928 | Full 0.9986
Epoch 052 | Loss 0.0029 | Val 0.9928 | Full 0.9986
Epoch 053 | Loss 0.0048 | Val 0.9712 | Full 0.9942
Epoch 054 | Loss 0.0111 | Val 0.9640 | Full 0.9928
Epoch 055 | Loss 0.0096 | Val 0.9568 | Full 0.9914
Epoch 056 | Loss 0.0111 | Val 0.9784 | Full 0.9957
Epoch 057 | Loss 0.0113 | Val 0.9784 | Full 0.9942
Epoch 058 | Loss 0.0386 | Val 0.9856 | Full 0.9971
Epoch 059 | Loss 0.0636 | Val 0.9568 | Full 0.9885
Epoch 060 | Loss 0.0242 | Val 0.9856 | Full 0.9928
Epoch 061 | Loss 0.0629 | Val 0.9712 | Full 0.9942
Epoch 062 | Loss 0.0169 | Val 0.9712 | Full 0.9942
Epoch 063 | Loss 0.0165 | Val 0.9856 | Full 0.9971
Epoch 064 | Loss 0.0215 | Val 0.9640 | Full 0.9928
Epoch 065 | Loss 0.0143 | Val 0.9568 | Full 0.9899
Epoch 066 | Loss 0.0334 | Val 0.9856 | Full 0.9971
Epoch 067 | Loss 0.0092 | Val 0.9784 | Full 0.9957
Epoch 068 | Loss 0.0062 | Val 0.9784 | Full 0.9957
Epoch 069 | Loss 0.0052 | Val 0.9928 | Full 0.9986
Epoch 070 | Loss 0.0070 | Val 0.9856 | Full 0.9971
Epoch 071 | Loss 0.0045 | Val 0.9640 | Full 0.9928
Epoch 072 | Loss 0.0184 | Val 0.9784 | Full 0.9957
Epoch 073 | Loss 0.0027 | Val 0.9784 | Full 0.9957
Epoch 074 | Loss 0.0017 | Val 0.9784 | Full 0.9957
Epoch 075 | Loss 0.0094 | Val 0.9856 | Full 0.9971
Epoch 076 | Loss 0.0035 | Val 0.9712 | Full 0.9942
Epoch 077 | Loss 0.0099 | Val 0.9784 | Full 0.9957
Epoch 078 | Loss 0.0009 | Val 0.9856 | Full 0.9971
Epoch 079 | Loss 0.0015 | Val 0.9856 | Full 0.9971
Epoch 080 | Loss 0.0039 | Val 0.9784 | Full 0.9957
Epoch 081 | Loss 0.0033 | Val 0.9784 | Full 0.9957
Epoch 082 | Loss 0.0022 | Val 0.9712 | Full 0.9942
Epoch 083 | Loss 0.0037 | Val 0.9784 | Full 0.9957
Epoch 084 | Loss 0.0116 | Val 0.9784 | Full 0.9957
Epoch 085 | Loss 0.0030 | Val 0.9784 | Full 0.9957
Epoch 086 | Loss 0.0043 | Val 0.9784 | Full 0.9957
Epoch 087 | Loss 0.0090 | Val 0.9784 | Full 0.9957
Epoch 088 | Loss 0.0121 | Val 0.9712 | Full 0.9942
Epoch 089 | Loss 0.0112 | Val 0.9928 | Full 0.9986
Epoch 090 | Loss 0.0130 | Val 0.9712 | Full 0.9942
Epoch 091 | Loss 0.0030 | Val 0.9712 | Full 0.9942
Epoch 092 | Loss 0.0150 | Val 0.9712 | Full 0.9942
Epoch 093 | Loss 0.0019 | Val 0.9856 | Full 0.9971
Epoch 094 | Loss 0.0028 | Val 0.9784 | Full 0.9957
Epoch 095 | Loss 0.0039 | Val 0.9784 | Full 0.9957
Epoch 096 | Loss 0.0049 | Val 0.9784 | Full 0.9957
Epoch 097 | Loss 0.0043 | Val 0.9856 | Full 0.9971
Epoch 098 | Loss 0.0009 | Val 0.9928 | Full 0.9986
Epoch 099 | Loss 0.0052 | Val 0.9928 | Full 0.9986
Epoch 100 | Loss 0.0049 | Val 0.9928 | Full 0.9986
  -> 本阶段最佳准确率 0.9986 (最小margin 0.5291)
Epoch 001 | Loss 0.0414 | Val 0.9784 | Full 0.9842
Epoch 002 | Loss 0.0657 | Val 0.9784 | Full 0.9928
Epoch 003 | Loss 0.0587 | Val 0.9856 | Full 0.9957
Epoch 004 | Loss 0.1131 | Val 0.9496 | Full 0.9770
Epoch 005 | Loss 0.0753 | Val 0.9640 | Full 0.9914
Epoch 006 | Loss 0.0108 | Val 0.9712 | Full 0.9942
Epoch 007 | Loss 0.0071 | Val 0.9712 | Full 0.9942
Epoch 008 | Loss 0.0213 | Val 0.9640 | Full 0.9928
Epoch 009 | Loss 0.0056 | Val 0.9856 | Full 0.9971
Epoch 010 | Loss 0.0225 | Val 0.9856 | Full 0.9942
